checkpoint_N,k,a,b,branch,pure_even,pure_odd,empty
63095734,648,3,4,8747,1014,58,410085
63095734,729,0,6,8747,1014,58,521622
63095734,1296,4,4,8747,1014,58,1669797
63095734,19683,0,9,8747,1014,58,387410670
79432823,1,0,0,1,0,0,0
79432823,2,1,0,4,0,0,0
79432823,3,0,1,9,0,0,0
79432823,4,2,0,16,0,0,0
79432823,6,1,1,36,0,0,0
79432823,8,3,0,64,0,0,0
79432823,9,0,2,81,0,0,0
79432823,12,2,1,144,0,0,0
79432823,16,4,0,256,0,0,0
79432823,18,1,2,324,0,0,0
79432823,24,3,1,576,0,0,0
79432823,27,0,3,729,0,0,0
79432823,36,2,2,1296,0,0,0
79432823,48,4,1,2304,0,0,0
79432823,54,1,3,2916,0,0,0
79432823,72,3,2,5184,0,0,0
79432823,81,0,4,6535,26,0,0
79432823,108,2,3,8938,759,95,1872
79432823,144,4,2,8981,1258,189,10308
79432823,162,1,4,8981,1258,189,15816
79432823,216,3,3,8981,1258,189,36228
79432823,324,2,4,8981,1258,189,94548
79432823,432,4,3,8981,1258,189,176196
79432823,648,3,4,8981,1258,189,409476
79432823,729,0,6,8981,1258,189,521013
79432823,1296,4,4,8981,1258,189,1669188
79432823,19683,0,9,8981,1258,189,387410061
100000000,1,0,0,1,0,0,0
100000000,2,1,0,4,0,0,0
100000000,3,0,1,9,0,0,0
100000000,4,2,0,16,0,0,0
100000000,6,1,1,36,0,0,0
100000000,8,3,0,64,0,0,0
100000000,9,0,2,81,0,0,0
100000000,12,2,1,144,0,0,0
100000000,16,4,0,256,0,0,0
100000000,18,1,2,324,0,0,0
100000000,24,3,1,576,0,0,0
100000000,27,0,3,729,0,0,0
100000000,36,2,2,1296,0,0,0
100000000,48,4,1,2304,0,0,0
100000000,54,1,3,2916,0,0,0
100000000,72,3,2,5184,0,0,0
100000000,81,0,4,6542,19,0,0
100000000,108,2,3,9257,822,146,1439
100000000,144,4,2,9415,1518,273,9530
100000000,162,1,4,9415,1518,273,15038
100000000,216,3,3,9415,1518,273,35450
100000000,324,2,4,9415,1518,273,93770
100000000,432,4,3,9415,1518,273,175418
100000000,648,3,4,9415,1518,273,408698
100000000,729,0,6,9415,1518,273,520235
100000000,1296,4,4,9415,1518,273,1668410
100000000,19683,0,9,9415,1518,273,387409283
125892541,1,0,0,1,0,0,0
125892541,2,1,0,4,0,0,0
125892541,3,0,1,9,0,0,0
125892541,4,2,0,16,0,0,0
125892541,6,1,1,36,0,0,0
125892541,8,3,0,64,0,0,0
125892541,9,0,2,81,0,0,0
125892541,12,2,1,144,0,0,0
125892541,16,4,0,256,0,0,0
125892541,18,1,2,324,0,0,0
125892541,24,3,1,576,0,0,0
125892541,27,0,3,729,0,0,0
125892541,36,2,2,1296,0,0,0
125892541,48,4,1,2304,0,0,0
125892541,54,1,3,2916,0,0,0
125892541,72,3,2,5184,0,0,0
125892541,81,0,4,6550,11,0,0
125892541,108,2,3,9536,825,144,1159
125892541,144,4,2,9822,1592,276,9046
125892541,162,1,4,9822,1592,276,14554
125892541,216,3,3,9822,1592,276,34966
125892541,324,2,4,9822,1592,276,93286
125892541,432,4,3,9822,1592,276,174934
125892541,648,3,4,9822,1592,276,408214
125892541,729,0,6,9822,1592,276,519751
125892541,1296,4,4,9822,1592,276,1667926
125892541,19683,0,9,9822,1592,276,387408799
158489319,1,0,0,1,0,0,0
158489319,2,1,0,4,0,0,0
158489319,3,0,1,9,0,0,0
158489319,4,2,0,16,0,0,0
158489319,6,1,1,36,0,0,0
158489319,8,3,0,64,0,0,0
158489319,9,0,2,81,0,0,0
158489319,12,2,1,144,0,0,0
158489319,16,4,0,256,0,0,0
158489319,18,1,2,324,0,0,0
158489319,24,3,1,576,0,0,0
158489319,27,0,3,729,0,0,0
158489319,36,2,2,1296,0,0,0
158489319,48,4,1,2304,0,0,0
158489319,54,1,3,2916,0,0,0
158489319,72,3,2,5184,0,0,0
158489319,81,0,4,6554,7,0,0
158489319,108,2,3,9925,782,159,798
158489319,144,4,2,10383,1699,300,8354
158489319,162,1,4,10383,1699,300,13862
158489319,216,3,3,10383,1699,300,34274
158489319,324,2,4,10383,1699,300,92594
158489319,432,4,3,10383,1699,300,174242
158489319,648,3,4,10383,1699,300,407522
158489319,729,0,6,10383,1699,300,519059
158489319,1296,4,4,10383,1699,300,1667234
158489319,19683,0,9,10383,1699,300,387408107
199526231,1,0,0,1,0,0,0
199526231,2,1,0,4,0,0,0
199526231,3,0,1,9,0,0,0
199526231,4,2,0,16,0,0,0
199526231,6,1,1,36,0,0,0
199526231,8,3,0,64,0,0,0
199526231,9,0,2,81,0,0,0
199526231,12,2,1,144,0,0,0
199526231,16,4,0,256,0,0,0
199526231,18,1,2,324,0,0,0
199526231,24,3,1,576,0,0,0
199526231,27,0,3,729,0,0,0
199526231,36,2,2,1296,0,0,0
199526231,48,4,1,2304,0,0,0
199526231,54,1,3,2916,0,0,0
199526231,72,3,2,5184,0,0,0
199526231,81,0,4,6559,2,0,0
199526231,108,2,3,10269,686,138,571
199526231,144,4,2,10970,1611,248,7907
199526231,162,1,4,10970,1611,248,13415
199526231,216,3,3,10970,1611,248,33827
199526231,324,2,4,10970,1611,248,92147
199526231,432,4,3,10970,1611,248,173795
199526231,648,3,4,10970,1611,248,407075
199526231,729,0,6,10970,1611,248,518612
199526231,1296,4,4,10970,1611,248,1666787
199526231,19683,0,9,10970,1611,248,387407660
251188643,1,0,0,1,0,0,0
251188643,2,1,0,4,0,0,0
251188643,3,0,1,9,0,0,0
251188643,4,2,0,16,0,0,0
251188643,6,1,1,36,0,0,0
251188643,8,3,0,64,0,0,0
251188643,9,0,2,81,0,0,0
251188643,12,2,1,144,0,0,0
251188643,16,4,0,256,0,0,0
251188643,18,1,2,324,0,0,0
251188643,24,3,1,576,0,0,0
251188643,27,0,3,729,0,0,0
251188643,36,2,2,1296,0,0,0
251188643,48,4,1,2304,0,0,0
251188643,54,1,3,2916,0,0,0
251188643,72,3,2,5184,0,0,0
251188643,81,0,4,6561,0,0,0
251188643,108,2,3,10564,578,119,403
251188643,144,4,2,11549,1546,200,7441
251188643,162,1,4,11549,1546,200,12949
251188643,216,3,3,11549,1546,200,33361
251188643,324,2,4,11549,1546,200,91681
251188643,432,4,3,11549,1546,200,173329
251188643,648,3,4,11549,1546,200,406609
251188643,729,0,6,11549,1546,200,518146
251188643,1296,4,4,11549,1546,200,1666321
251188643,19683,0,9,11549,1546,200,387407194
316227766,1,0,0,1,0,0,0
316227766,2,1,0,4,0,0,0
316227766,3,0,1,9,0,0,0
316227766,4,2,0,16,0,0,0
316227766,6,1,1,36,0,0,0
316227766,8,3,0,64,0,0,0
316227766,9,0,2,81,0,0,0
316227766,12,2,1,144,0,0,0
316227766,16,4,0,256,0,0,0
316227766,18,1,2,324,0,0,0
316227766,24,3,1,576,0,0,0
316227766,27,0,3,729,0,0,0
316227766,36,2,2,1296,0,0,0
316227766,48,4,1,2304,0,0,0
316227766,54,1,3,2916,0,0,0
316227766,72,3,2,5184,0,0,0
316227766,81,0,4,6561,0,0,0
316227766,108,2,3,10896,469,83,216
316227766,144,4,2,12143,1460,132,7001
316227766,162,1,4,12143,1460,132,12509
316227766,216,3,3,12143,1460,132,32921
316227766,324,2,4,12143,1460,132,91241
316227766,432,4,3,12143,1460,132,172889
316227766,648,3,4,12143,1460,132,406169
316227766,729,0,6,12143,1460,132,517706
316227766,1296,4,4,12143,1460,132,1665881
316227766,19683,0,9,12143,1460,132,387406754
398107171,1,0,0,1,0,0,0
398107171,2,1,0,4,0,0,0
398107171,3,0,1,9,0,0,0
398107171,4,2,0,16,0,0,0
398107171,6,1,1,36,0,0,0
398107171,8,3,0,64,0,0,0
398107171,9,0,2,81,0,0,0
398107171,12,2,1,144,0,0,0
398107171,16,4,0,256,0,0,0
398107171,18,1,2,324,0,0,0
398107171,24,3,1,576,0,0,0
398107171,27,0,3,729,0,0,0
398107171,36,2,2,1296,0,0,0
398107171,48,4,1,2304,0,0,0
398107171,54,1,3,2916,0,0,0
398107171,72,3,2,5184,0,0,0
398107171,81,0,4,6561,0,0,0
