residue,class_odd,class_dead,exact_dead,exact_steps,alpha,mod9,mod3
5229,12,0,1,3,8.10914612,0,0
5231,10,1,1,24,0.90101624,2,2
5233,5,1,1,3,0.00370789,4,1
5235,10,1,1,6,0.90101624,6,0
5237,9,1,1,3,0.30033875,8,2
5239,8,1,1,8,0.10011292,1,1
5241,12,0,1,3,8.10914612,3,0
5243,9,1,1,13,0.30033875,5,2
5245,8,1,1,3,0.10011292,7,1
5247,11,0,1,32,2.70304871,0,0
5249,11,0,1,3,2.70304871,2,2
5251,5,1,1,6,0.00370789,4,1
5253,5,1,1,3,0.00370789,6,0
5255,11,0,1,11,2.70304871,8,2
5257,13,0,1,3,24.32743835,1,1
5259,8,1,1,8,0.10011292,3,0
5261,6,1,1,3,0.01112366,5,2
5263,9,1,1,11,0.30033875,7,1
5265,7,1,1,3,0.03337097,0,0
5267,7,1,1,6,0.03337097,2,2
5269,6,1,1,3,0.01112366,4,1
5271,6,1,1,8,0.01112366,6,0
5273,8,1,1,3,0.10011292,8,2
5275,9,1,1,21,0.30033875,1,1
5277,8,1,1,3,0.10011292,3,0
5279,11,0,1,37,2.70304871,5,2
5281,8,1,1,3,0.10011292,7,1
5283,10,1,1,6,0.90101624,0,0
5285,10,1,1,3,0.90101624,2,2
5287,11,0,1,29,2.70304871,4,1
5289,9,1,1,3,0.30033875,6,0
5291,6,1,1,8,0.01112366,8,2
5293,6,1,1,3,0.01112366,1,1
5295,9,1,1,13,0.30033875,3,0
5297,9,1,1,3,0.30033875,5,2
5299,9,1,1,6,0.30033875,7,1
5301,5,1,1,3,0.00370789,0,0
5303,10,1,1,8,0.90101624,2,2
5305,9,1,1,3,0.30033875,4,1
5307,10,1,1,11,0.90101624,6,0
5309,8,1,1,3,0.10011292,8,2
5311,10,1,1,24,0.90101624,1,1
5313,8,1,1,3,0.10011292,3,0
5315,8,1,1,6,0.10011292,5,2
5317,7,1,1,3,0.03337097,7,1
5319,8,1,1,13,0.10011292,0,0
5321,7,1,1,3,0.03337097,2,2
5323,7,1,1,8,0.03337097,4,1
5325,7,1,1,3,0.03337097,6,0
5327,9,1,1,19,0.30033875,8,2
5329,7,1,1,3,0.03337097,1,1
5331,7,1,1,6,0.03337097,3,0
5333,7,1,1,3,0.03337097,5,2
5335,8,1,1,8,0.10011292,7,1
5337,7,1,1,3,0.03337097,0,0
5339,8,1,1,13,0.10011292,2,2
5341,10,1,1,3,0.90101624,4,1
5343,10,1,1,26,0.90101624,6,0
5345,11,0,1,3,2.70304871,8,2
5347,7,1,1,6,0.03337097,1,1
5349,9,1,1,3,0.30033875,3,0
5351,12,0,1,47,8.10914612,5,2
5353,9,1,1,3,0.30033875,7,1
5355,9,1,1,8,0.30033875,0,0
5357,5,1,1,3,0.00370789,2,2
5359,13,0,1,34,24.32743835,4,1
5361,9,1,1,3,0.30033875,6,0
5363,9,1,1,6,0.30033875,8,2
5365,9,1,1,3,0.30033875,1,1
5367,8,1,1,8,0.10011292,3,0
5369,8,1,1,3,0.10011292,5,2
5371,11,0,1,21,2.70304871,7,1
5373,9,1,1,3,0.30033875,0,0
5375,10,1,1,26,0.90101624,2,2
5377,9,1,1,3,0.30033875,4,1
5379,10,1,1,6,0.90101624,6,0
5381,7,1,1,3,0.03337097,8,2
5383,10,1,1,11,0.90101624,1,1
5385,10,1,1,3,0.90101624,3,0
5387,11,0,1,8,2.70304871,5,2
5389,8,1,1,3,0.10011292,7,1
5391,5,1,1,11,0.00370789,0,0
5393,8,1,1,3,0.10011292,2,2
5395,9,1,1,6,0.30033875,4,1
5397,7,1,1,3,0.03337097,6,0
5399,8,1,1,8,0.10011292,8,2
5401,10,1,1,3,0.90101624,1,1
5403,11,0,1,34,2.70304871,3,0
5405,9,1,1,3,0.30033875,5,2
5407,8,1,1,16,0.10011292,7,1
5409,7,1,1,3,0.03337097,0,0
5411,7,1,1,6,0.03337097,2,2
5413,7,1,1,3,0.03337097,4,1
5415,7,1,1,13,0.03337097,6,0
5417,9,1,1,3,0.30033875,8,2
5419,7,1,1,8,0.03337097,1,1
5421,7,1,1,3,0.03337097,3,0
5423,10,1,1,26,0.90101624,5,2
5425,9,1,1,3,0.30033875,7,1
5427,9,1,1,6,0.30033875,0,0
5429,9,1,1,3,0.30033875,2,2
5431,11,0,1,8,2.70304871,4,1
5433,10,1,1,3,0.90101624,6,0
5435,7,1,1,11,0.03337097,8,2
5437,8,1,1,3,0.10011292,1,1
5439,9,1,1,21,0.30033875,3,0
5441,9,1,1,3,0.30033875,5,2
5443,9,1,1,6,0.30033875,7,1
5445,9,1,1,3,0.30033875,0,0
5447,12,0,1,44,8.10914612,2,2
5449,11,0,1,3,2.70304871,4,1
5451,9,1,1,8,0.30033875,6,0
5453,11,0,1,3,2.70304871,8,2
5455,9,1,1,13,0.30033875,1,1
5457,11,0,1,3,2.70304871,3,0
5459,13,0,1,6,24.32743835,5,2
5461,2,1,1,3,0.00013733,7,1
5463,8,1,1,8,0.10011292,0,0
5465,9,1,1,3,0.30033875,2,2
5467,8,1,1,16,0.10011292,4,1
5469,6,1,1,3,0.01112366,6,0
5471,9,1,1,13,0.30033875,8,2
5473,9,1,1,3,0.30033875,1,1
5475,7,1,1,6,0.03337097,3,0
5477,7,1,1,3,0.03337097,5,2
5479,13,0,1,52,24.32743835,7,1
