j,k,n_atoms,min_width,max_width,mean_width,min_mean_ratio,entropy,max_entropy,deficit,efficiency,H_over_j,H_over_k,min_gap_int,baker_ratio
10,3,1050,3.616898148148148e-05,9.765625000000000e-04,9.523809523809524e-04,0.03797743,6.9446175370,6.9565454432,0.0119279062,0.99828537,0.6944617537,2.3148725123,1,1.00
10,6,1752,1.339591906721536e-06,9.765625000000000e-04,5.707762557077625e-04,0.00234697,7.2874266987,7.4685132715,0.1810865728,0.97575333,0.7287426699,1.2145711164,1,1.00
10,8,7584,1.488435451912818e-07,1.524157902758726e-04,1.318565400843882e-04,0.00112883,8.8669349480,8.9337960439,0.0668610960,0.99251594,0.8866934948,1.1083668685,1,1.00
10,12,532464,1.837574631991134e-09,1.881676423158921e-06,1.878061239820908e-06,0.00097844,13.1843108794,13.1852705686,0.0009596893,0.99992722,1.3184310879,1.0986925733,1,1.00
11,1,2050,1.627604166666667e-04,4.882812500000000e-04,4.878048780487805e-04,0.33365885,7.6252405820,7.6255950721,0.0003544901,0.99995351,0.6932036893,7.6252405820,1,1.00
11,3,2074,1.808449074074074e-05,4.882812500000000e-04,4.821600771456124e-04,0.03750723,7.6311918518,7.6372343888,0.0060425369,0.99920881,0.6937447138,2.5437306173,1,1.00
11,7,4234,2.232653177869227e-07,4.572473708276177e-04,2.361832782239018e-04,0.00094531,8.1585069336,8.3509024517,0.1923955181,0.97696111,0.7416824485,1.1655009905,1,1.00
11,9,21730,2.480725753188030e-08,5.080526342529086e-05,4.601932811780948e-05,0.00053906,9.9395351439,9.9864490733,0.0469139294,0.99530224,0.9035941040,1.1043927938,1,1.00
11,14,4785016,1.020874795550630e-10,2.090751581287690e-07,2.089857170801519e-07,0.00048849,15.3807861356,15.3809999266,0.0002137911,0.99998610,1.3982532851,1.0986275811,1,1.00
12,1,4098,8.138020833333333e-05,2.441406250000000e-04,2.440214738897023e-04,0.33349609,8.3180769647,8.3182543288,0.0001773641,0.99997868,0.6931730804,8.3180769647,1,1.00
12,4,4176,3.014081790123457e-06,2.441406250000000e-04,2.394636015325670e-04,0.01258681,8.3276501550,8.3371091296,0.0094589746,0.99886544,0.6939708462,2.0819125387,1,1.00
12,8,10656,3.721088629782046e-08,1.524157902758726e-04,9.384384384384384e-05,0.00039652,9.1010457777,9.2738783928,0.1728326150,0.98136350,0.7584204815,1.1376307222,1,1.00
12,10,63144,4.134542921980050e-09,1.693508780843029e-05,1.583681743316863e-05,0.00026107,11.0208059387,11.0531731114,0.0323671727,0.99707168,0.9184004949,1.1020805939,1,1.00
